[2026-07-26 19:43:53] [ocr-gpu] providers=['TensorrtExecutionProvider', 'CUDAExecutionProvider', 'CPUExecutionProvider'] -> use_cuda=True
[2026-07-26 19:45:13] [ocr-gpu] providers=['TensorrtExecutionProvider', 'CUDAExecutionProvider', 'CPUExecutionProvider'] -> use_cuda=True
[2026-07-26 20:42:57] [ocr-gpu] providers=['TensorrtExecutionProvider', 'CUDAExecutionProvider', 'CPUExecutionProvider'] -> use_cuda=True
[2026-07-26 21:01:42] [ocr-gpu] providers=['TensorrtExecutionProvider', 'CUDAExecutionProvider', 'CPUExecutionProvider'] -> use_cuda=True
[2026-07-26 22:56:03] [ocr-gpu] providers=['TensorrtExecutionProvider', 'CUDAExecutionProvider', 'CPUExecutionProvider'] -> use_cuda=True
[2026-07-26 22:56:34] [ocr-gpu] providers=['TensorrtExecutionProvider', 'CUDAExecutionProvider', 'CPUExecutionProvider'] -> use_cuda=True
[2026-07-26 22:57:32] [ocr-gpu] providers=['TensorrtExecutionProvider', 'CUDAExecutionProvider', 'CPUExecutionProvider'] -> use_cuda=True
[2026-07-26 23:03:31] [ocr-gpu] providers=['TensorrtExecutionProvider', 'CUDAExecutionProvider', 'CPUExecutionProvider'] -> use_cuda=True
[2026-07-26 23:03:36] [ocr-gpu] providers=['TensorrtExecutionProvider', 'CUDAExecutionProvider', 'CPUExecutionProvider'] -> use_cuda=True
[2026-07-26 23:15:25] [ocr-gpu] providers=['TensorrtExecutionProvider', 'CUDAExecutionProvider', 'CPUExecutionProvider'] -> use_cuda=True
[2026-07-26 23:23:01] [ocr-gpu] providers=['TensorrtExecutionProvider', 'CUDAExecutionProvider', 'CPUExecutionProvider'] -> use_cuda=True
[2026-07-26 23:29:25] [ocr-gpu] providers=['TensorrtExecutionProvider', 'CUDAExecutionProvider', 'CPUExecutionProvider'] -> use_cuda=True
[2026-07-26 23:30:30] [ocr-gpu] providers=['TensorrtExecutionProvider', 'CUDAExecutionProvider', 'CPUExecutionProvider'] -> use_cuda=True
[2026-07-26 23:31:26] [ocr-gpu] providers=['TensorrtExecutionProvider', 'CUDAExecutionProvider', 'CPUExecutionProvider'] -> use_cuda=True
[2026-07-26 23:32:28] [ocr-gpu] providers=['TensorrtExecutionProvider', 'CUDAExecutionProvider', 'CPUExecutionProvider'] -> use_cuda=True
[2026-07-26 23:33:49] [ocr-gpu] providers=['TensorrtExecutionProvider', 'CUDAExecutionProvider', 'CPUExecutionProvider'] -> use_cuda=True
[2026-07-26 23:34:30] [ocr-gpu] providers=['TensorrtExecutionProvider', 'CUDAExecutionProvider', 'CPUExecutionProvider'] -> use_cuda=True
